#      WAVE        LUMINOSITY
       3904.8728       1.8528101
       3905.7720       1.8215207
       3906.6714       1.7998071
       3907.5711       1.8742000
       3908.4709       1.9245517
       3909.3710       1.9426158
       3910.2713       1.9713662
       3911.1717       2.0313244
       3912.0724       1.9945801
       3912.9733       1.9900904
       3913.8744       1.9691523
       3914.7757       1.9175761
       3915.6772       1.9778291
       3916.5790       1.9624950
       3917.4809       1.8819551
       3918.3830       1.8986714
       3919.2854       1.9066865
       3920.1879       1.8800952
       3921.0907       1.8393301
       3921.9937       1.8233903
       3922.8968       1.8854500
       3923.8002       1.8881373
       3924.7038       1.8870210
       3925.6076       1.8710680
       3926.5116       1.8133578
       3927.4158       1.7361175
       3928.3203       1.6680114
       3929.2249       1.6714390
       3930.1297       1.6240605
       3931.0348       1.4881158
       3931.9400       1.4179171
       3932.8455       1.2237939
       3933.7512       1.1389955
       3934.6571       1.0893565
       3935.5632       1.1035458
       3936.4695       1.3903683
       3937.3760       1.6655457
       3938.2827       1.7234577
       3939.1896       1.6419596
       3940.0968       1.6304376
       3941.0041       1.7702849
       3941.9117       1.8776943
       3942.8194       1.7922711
       3943.7274       1.7766181
       3944.6356       1.8367591
       3945.5440       1.8771476
       3946.4526       1.8469699
       3947.3614       1.8434842
       3948.2704       1.8263128
       3949.1796       1.8538705
       3950.0891       1.8787969
       3950.9987       1.8983794
       3951.9086       1.8979186
       3952.8186       1.8638029
       3953.7289       1.8763760
       3954.6394       1.8907032
       3955.5501       1.8718251
       3956.4610       1.8014276
       3957.3721       1.7254330
       3958.2834       1.7855011
       3959.1949       1.7739914
       3960.1067       1.7162090
       3961.0186       1.7108493
       3961.9308       1.5912235
       3962.8432       1.4560520
       3963.7558       1.4126358
       3964.6686       1.3948561
       3965.5816       1.2802788
       3966.4948       1.2243253
       3967.4082       1.1011512
       3968.3218       1.0242685
       3969.2357       1.0522971
       3970.1497       1.1510250
       3971.0640       1.2761465
       3971.9785       1.3202731
       3972.8932       1.2810577
       3973.8081       1.2771394
       3974.7232       1.2922292
       3975.6385       1.4441822
       3976.5540       1.5783636
       3977.4698       1.6475401
       3978.3857       1.7250748
       3979.3019       1.7863417
       3980.2182       1.8679680
       3981.1348       1.8873346
       3982.0516       1.8998371
       3982.9686       1.9285558
       3983.8859       1.9122526
       3984.8033       2.0274135
       3985.7209       2.0471064
       3986.6388       2.0120792
       3987.5568       2.1005653
       3988.4751       2.0916864
       3989.3936       2.0884245
       3990.3123       2.1254476
       3991.2312       2.1193447
       3992.1503       2.1069951
       3993.0697       2.1865803
       3993.9892       2.1832326
       3994.9090       2.1062203
       3995.8289       2.0987689
       3996.7491       2.1582385
       3997.6695       2.1148963
       3998.5901       2.0650005
       3999.5109       2.1239098
       4000.4319       2.1843259
       4001.3532       2.1693468
       4002.2746       2.0956587
       4003.1963       2.1550197
       4004.1182       2.1496146
       4005.0403       2.0703777
       4005.9626       2.0529511
       4006.8851       2.0550194
       4007.8078       2.0590105
       4008.7307       2.0524870
       4009.6539       2.0726814
       4010.5773       2.1068866
       4011.5008       2.1006126
       4012.4246       2.1372063
       4013.3486       2.1492696
       4014.2728       2.1435367
       4015.1973       2.1458017
       4016.1219       2.1350808
       4017.0468       2.1865272
       4017.9718       2.1841673
       4018.8971       2.1772924
       4019.8226       2.1757490
       4020.7483       2.1529504
       4021.6742       2.1501070
       4022.6003       2.1245818
       4023.5267       2.0863807
       4024.4532       2.0731870
       4025.3800       2.0798997
       4026.3070       2.0811657
       4027.2342       2.1204296
       4028.1616       2.1374312
       4029.0892       2.1108919
       4030.0171       2.1079815
       4030.9451       2.0230128
       4031.8734       1.9824838
       4032.8019       2.0102355
       4033.7306       2.0527304
       4034.6595       2.0624400
       4035.5886       2.0677119
       4036.5179       2.1240845
       4037.4475       2.1575187
       4038.3772       2.1673858
       4039.3072       2.2184095
       4040.2374       2.2435599
       4041.1678       2.1765117
       4042.0984       2.1236908
       4043.0293       2.1953087
       4043.9603       2.1282168
       4044.8916       2.0571243
       4045.8231       2.0206907
       4046.7548       1.9900849
       4047.6867       2.0734206
       4048.6188       2.1922632
       4049.5511       2.1309849
       4050.4837       2.1265945
       4051.4164       2.2162904
       4052.3494       2.1539911
       4053.2826       2.0902922
       4054.2160       2.1051139
       4055.1497       2.1098195
       4056.0835       2.1022988
       4057.0176       2.0533853
       4057.9518       2.0534011
       4058.8863       2.0883786
       4059.8210       2.0583968
       4060.7559       2.0467601
       4061.6911       2.0800086
       4062.6264       2.0472143
       4063.5620       2.0525815
       4064.4977       1.9653275
       4065.4337       1.9594096
       4066.3699       2.0487441
       4067.3064       2.0193069
       4068.2430       2.0959731
       4069.1799       2.1296110
       4070.1169       2.0893828
       4071.0542       2.0400721
       4071.9917       1.9942677
       4072.9294       2.0306131
       4073.8674       1.9874718
       4074.8055       1.9684619
       4075.7439       1.9689595
       4076.6825       1.9428436
       4077.6213       1.8875624
       4078.5603       1.9252173
       4079.4995       1.9796799
       4080.4390       2.0204050
       4081.3786       2.0276891
       4082.3185       2.0113377
       4083.2586       2.0031823
       4084.1989       1.9573284
       4085.1395       1.9457125
       4086.0802       1.9443733
       4087.0212       1.9887647
       4087.9623       1.9974219
       4088.9037       1.9986435
       4089.8454       1.9806602
       4090.7872       1.9374524
       4091.7292       1.9811595
       4092.6715       1.9526234
       4093.6140       1.8715567
       4094.5567       1.8168664
       4095.4996       1.7970749
       4096.4427       1.6933421
       4097.3861       1.5999385
       4098.3296       1.5609153
       4099.2734       1.5382013
       4100.2174       1.6025083
       4101.1616       1.7170026
       4102.1061       1.7954943
       4103.0507       1.7982819
       4103.9956       1.7103881
       4104.9407       1.6107885
       4105.8860       1.5610317
       4106.8315       1.5785550
       4107.7773       1.6716226
       4108.7232       1.7025591
       4109.6694       1.7441074
       4110.6158       1.7946585
       4111.5624       1.8327933
       4112.5092       1.8094198
       4113.4563       1.8693799
       4114.4036       1.9393965
       4115.3510       1.9588728
       4116.2987       1.9867145
       4117.2467       2.0077350
       4118.1948       1.9654100
       4119.1432       1.9383931
       4120.0917       1.9369666
       4121.0405       1.9474228
       4121.9896       1.9654640
       4122.9388       1.9791411
       4123.8882       2.0109139
       4124.8379       2.0257523
       4125.7878       2.0307347
       4126.7379       2.0417922
       4127.6882       2.0223836
       4128.6388       1.9806581
       4129.5895       1.9273516
       4130.5405       1.9585221
       4131.4917       2.0151846
       4132.4431       1.9923487
       4133.3948       1.9554554
       4134.3466       1.9635825
       4135.2987       2.0330295
       4136.2510       2.0735203
       4137.2035       2.0757223
       4138.1563       2.1026482
       4139.1092       2.0918558
       4140.0624       2.0854513
       4141.0158       2.0887698
       4141.9694       2.0971659
       4142.9232       2.1031104
       4143.8773       2.0015057
       4144.8316       1.9085478
       4145.7861       1.9833104
       4146.7408       2.0529090
       4147.6957       2.0571912
       4148.6509       2.0904181
       4149.6062       2.0582884
       4150.5618       2.1117288
       4151.5176       2.1082270
       4152.4737       2.0908080
       4153.4299       2.0258506
       4154.3864       2.0146615
       4155.3431       2.0364788
       4156.3000       2.0075927
       4157.2571       2.0501597
       4158.2145       2.0535582
       4159.1721       2.0490426
       4160.1299       2.1081601
       4161.0879       2.1042511
       4162.0461       2.1408149
       4163.0046       2.1510864
       4163.9632       2.1087721
       4164.9221       2.1387681
       4165.8813       2.0947019
       4166.8406       2.0974923
       4167.8002       2.1514063
       4168.7599       2.0980283
       4169.7199       2.0885749
       4170.6802       2.0509576
       4171.6406       2.0328774
       4172.6013       1.9777903
       4173.5622       1.9076899
       4174.5233       1.9651123
       4175.4846       1.9958600
       4176.4462       1.9632317
       4177.4079       1.9974459
       4178.3699       1.9923711
       4179.3321       2.0202954
       4180.2946       2.0529164
       4181.2572       2.0206515
       4182.2201       2.0432942
       4183.1832       2.0749612
       4184.1465       2.0844655
       4185.1101       2.0913816
       4186.0739       2.0666570
