#     WAVE         LUM1         LUM10        LUM100      LUM1000      LUM5000     LUM10000
      3476.79    0.0299645    0.0119050  0.000960953  8.18151e-05  9.47111e-06  4.17832e-06
      3477.59    0.0296546    0.0117750  0.000967681  8.36652e-05  1.00829e-05  4.49750e-06
      3478.40    0.0292464    0.0116011  0.000973981  8.67681e-05  1.09036e-05  4.92692e-06
      3479.20    0.0288645    0.0114184  0.000978549  9.02300e-05  1.16838e-05  5.35573e-06
      3480.00    0.0286419    0.0112179  0.000982244  9.30696e-05  1.21404e-05  5.64442e-06
      3480.80    0.0287705    0.0112173  0.000983872  9.43650e-05  1.22306e-05  5.73269e-06
      3481.60    0.0290126    0.0112888  0.000983872  9.42340e-05  1.20569e-05  5.68412e-06
      3482.40    0.0290923    0.0113023  0.000982159  9.32245e-05  1.17387e-05  5.53900e-06
      3483.20    0.0289587    0.0112401  0.000979449  9.19034e-05  1.13923e-05  5.34952e-06
      3484.01    0.0287785    0.0111911  0.000977214  9.08421e-05  1.11264e-05  5.17711e-06
      3484.81    0.0289103    0.0111833  0.000979001  9.10130e-05  1.11085e-05  5.13161e-06
      3485.61    0.0292320    0.0112407  0.000983529  9.29568e-05  1.15678e-05  5.36059e-06
      3486.41    0.0295485    0.0114115  0.000990652  9.58566e-05  1.21782e-05  5.65604e-06
      3487.22    0.0297861    0.0116405  0.000998206  9.84896e-05  1.26837e-05  5.89403e-06
      3488.02    0.0299794    0.0117944   0.00100236  9.93314e-05  1.28843e-05  6.01494e-06
      3488.82    0.0302860    0.0119449  0.000996192  9.69035e-05  1.22871e-05  5.68401e-06
      3489.63    0.0304021    0.0119575  0.000986618  9.33805e-05  1.14449e-05  5.21560e-06
      3490.43    0.0303270    0.0119194  0.000977500  9.02495e-05  1.06448e-05  4.77911e-06
      3491.23    0.0301650    0.0118792  0.000970527  8.84355e-05  1.01135e-05  4.48870e-06
      3492.04    0.0301009    0.0118656  0.000966060  8.84419e-05  1.00318e-05  4.42346e-06
      3492.84    0.0304431    0.0119847  0.000965512  8.96134e-05  1.03847e-05  4.64539e-06
      3493.65    0.0306081    0.0120909  0.000970652  9.00748e-05  1.07662e-05  4.87523e-06
      3494.45    0.0305901    0.0120818  0.000974726  8.96003e-05  1.10364e-05  5.07873e-06
      3495.26    0.0304337    0.0119868  0.000973382  8.79499e-05  1.10877e-05  5.16145e-06
      3496.06    0.0302153    0.0119064  0.000964972  8.50833e-05  1.08578e-05  5.02820e-06
      3496.87    0.0299927    0.0119425  0.000962042  8.23959e-05  1.05223e-05  4.86504e-06
      3497.67    0.0300036    0.0119619  0.000964489  8.25454e-05  1.06059e-05  4.90506e-06
      3498.48    0.0300631    0.0119526  0.000971798  8.56214e-05  1.12101e-05  5.17918e-06
      3499.28    0.0300224    0.0118490  0.000980080  9.06212e-05  1.21792e-05  5.65691e-06
      3500.09    0.0297702    0.0116015  0.000983305  9.58418e-05  1.31889e-05  6.21710e-06
      3500.89    0.0293335    0.0113478  0.000970697  9.88075e-05  1.36439e-05  6.41674e-06
      3501.70    0.0289880    0.0113677  0.000965862  9.96802e-05  1.38181e-05  6.52489e-06
      3502.51    0.0289094    0.0114417  0.000968262  0.000100011  1.39830e-05  6.66163e-06
      3503.31    0.0290128    0.0115163  0.000970877  9.99612e-05  1.41342e-05  6.79065e-06
      3504.12    0.0291156    0.0115569  0.000967515  9.92901e-05  1.41743e-05  6.84056e-06
      3504.93    0.0289285    0.0114545  0.000960776  9.72679e-05  1.38681e-05  6.73055e-06
      3505.73    0.0286654    0.0113273  0.000953590  9.51657e-05  1.34850e-05  6.52333e-06
      3506.54    0.0285164    0.0112409  0.000948838  9.38862e-05  1.32125e-05  6.34238e-06
      3507.35    0.0284987    0.0112043  0.000948429  9.40312e-05  1.30672e-05  6.24870e-06
      3508.16    0.0285886    0.0112337  0.000952106  9.54041e-05  1.30208e-05  6.24100e-06
      3508.96    0.0287373    0.0113852  0.000955542  9.62655e-05  1.30162e-05  6.20945e-06
      3509.77    0.0288403    0.0114687  0.000957318  9.53851e-05  1.26537e-05  5.96206e-06
      3510.58    0.0288841    0.0115198  0.000961250  9.41381e-05  1.23060e-05  5.74754e-06
      3511.39    0.0288430    0.0115204  0.000964965  9.25539e-05  1.19627e-05  5.54087e-06
      3512.20    0.0287301    0.0114793  0.000966303  9.08569e-05  1.15904e-05  5.32156e-06
      3513.01    0.0286075    0.0114426  0.000963941  8.96259e-05  1.11651e-05  5.10170e-06
      3513.82    0.0284778    0.0113784  0.000950434  8.87187e-05  1.08505e-05  4.90720e-06
      3514.62    0.0285986    0.0114089  0.000936155  8.89107e-05  1.08037e-05  4.81794e-06
      3515.43    0.0287672    0.0114986  0.000932383  9.06891e-05  1.11092e-05  4.96044e-06
      3516.24    0.0288628    0.0115709  0.000939663  9.39008e-05  1.18130e-05  5.38594e-06
      3517.05    0.0288382    0.0115364  0.000950438  9.78040e-05  1.28748e-05  6.04825e-06
      3517.86    0.0287290    0.0115251  0.000961602  0.000100962  1.37078e-05  6.51595e-06
      3518.67    0.0287475    0.0115235  0.000970796  0.000102394  1.40855e-05  6.76547e-06
      3519.48    0.0287949    0.0115174  0.000974814  0.000101765  1.39328e-05  6.65945e-06
      3520.29    0.0288368    0.0115159  0.000974759  9.95184e-05  1.33866e-05  6.31614e-06
      3521.10    0.0288562    0.0115193  0.000973223  9.64899e-05  1.26457e-05  5.91515e-06
      3521.92    0.0287964    0.0114376  0.000970651  9.35240e-05  1.16952e-05  5.38071e-06
      3522.73    0.0287192    0.0113582  0.000963698  9.18313e-05  1.11121e-05  5.04026e-06
      3523.54    0.0287257    0.0113680  0.000957588  9.01251e-05  1.05395e-05  4.70654e-06
      3524.35    0.0288447    0.0114280  0.000953693  8.83109e-05  9.97993e-06  4.36896e-06
      3525.16    0.0290038    0.0115120  0.000952755  8.65707e-05  9.51646e-06  4.08210e-06
      3525.97    0.0289393    0.0116784  0.000955957  8.52883e-05  9.29114e-06  3.98896e-06
      3526.78    0.0288603    0.0116598  0.000962368  8.56169e-05  9.78995e-06  4.31200e-06
      3527.60    0.0287597    0.0115812  0.000964751  8.81119e-05  1.05999e-05  4.77292e-06
      3528.41    0.0286722    0.0114979  0.000965233  9.19962e-05  1.15993e-05  5.35055e-06
      3529.22    0.0286387    0.0114498  0.000965610  9.61442e-05  1.25753e-05  5.91841e-06
      3530.03    0.0286995    0.0114611  0.000966590  9.91898e-05  1.32091e-05  6.23369e-06
      3530.85    0.0288410    0.0115625  0.000969083  9.99000e-05  1.32729e-05  6.28287e-06
      3531.66    0.0289920    0.0116173  0.000970686  9.87449e-05  1.29991e-05  6.08143e-06
      3532.47    0.0291283    0.0116711  0.000974117  9.73594e-05  1.27519e-05  5.93506e-06
      3533.29    0.0291582    0.0117068  0.000977793  9.66150e-05  1.27197e-05  5.95330e-06
      3534.10    0.0290034    0.0116913  0.000977727  9.68934e-05  1.29682e-05  6.13018e-06
      3534.91    0.0288242    0.0116736  0.000967947  9.80976e-05  1.34178e-05  6.39807e-06
      3535.73    0.0288239    0.0116718  0.000962602  9.93741e-05  1.37339e-05  6.59454e-06
      3536.54    0.0288255    0.0116450  0.000960186  0.000100209  1.38927e-05  6.64202e-06
      3537.36    0.0287387    0.0115948  0.000961545  0.000101037  1.39994e-05  6.64021e-06
      3538.17    0.0285742    0.0115396  0.000966803  0.000102314  1.41804e-05  6.70486e-06
      3538.99    0.0285166    0.0115138  0.000974096  0.000104135  1.45423e-05  6.90476e-06
      3539.80    0.0284593    0.0114740  0.000979049  0.000105592  1.47294e-05  6.95791e-06
      3540.62    0.0285049    0.0114487  0.000982444  0.000105635  1.46174e-05  6.88661e-06
